Algorithm,Iterations,Inertia,Silhouette Score,Davies-Bouldin Index,Adjusted Rand Index,Normalized Mutual Info
KMeans,5,431.16856022002196,0.4038543508752402,0.9183143420680436,0.8227344478849459,0.7753227654918474
FCM,21,292.84124157673114,0.40104201436410764,0.9311848403244465,0.7723115234466423,0.7274892916931642
